Aardvark	&38-58.14-58-1236-14-58.14-34.78,12
Anode	&56.38.56.14-12-36-14-1458-56.14.58,12
Bristol	&-58-14.58-58.36.14-14.58-14-18,18
Cathode	&-38-14-12-38.12-14.38-14.36.58,12
Crayfish	&34-38.16-58-38.12-12.58-56-18,12
Ditchling	&-58-1458-58-36-14-1458-14-18,18
Double Dublin	&-56-14.56-58.36.14-34.58-34-18,18
Essex	&-58-14.58-58.16-14-38.14-14.58,18
Focus	&38.56-1458-56-1238-14-58-36-18,12
Gimpanzee	&-56-1458-56-38-12-58-14.36.58,18
Kalashnikov	&56.34.58.14.58.12.56.38-14-58-14.56.18,18
Lancashire	&58-58.14-58-36-14-58.14-14.78,12
Malpas	&34-58.14-58-36-14-58.14-14.78,18
Monkey	&34-56.14-58-36.14-14.58-14-18,18
Mullah	&34-38.16-56.12.38.14-12.58-56-38,18
Northampton	&-34.58.14-58-38.14-14.58-14-58,12
Richmond	&38-38.14-12-38.14-14.38-36-18,12
Silchester	&34-38.14-58-36-14-58.16-56.18,12
Superlative	&-36-14-58-36-14-58-36-78,12
Tellurium	&38-56.14-56-1238-14-58-14-58,12
Thetford	&-58-14-12-36-14-58-14.56.38,12
Victoria Bar	&38-58.14-58-38.12-12.38-14-78,12
Yorkshire	&-38-14-58-16-12-38-14-78,12
