Aubergine	&36-56.14.58.12-38.14-14.58.14-14.58,12
Bolonium	&-38-14-12.58.16-34-58-16-58,18
Chisleu	&-58-14.58-58.36-34-38-12-38,18
Evora	&-34-14-12-16-12-58-12-18,12
Huayra	&-34-4.5.2-6-4-5-36-1,2
Jovium	&-38-14-12.58.16-34-58-16-58,12
Lessness	&-38-14-56-16-12-58-14-58,12
Panamera	&38-56.14.56-56.38-14-38.56-56.18,12
Speedball	&-38-14-12-36.14-12.58-56-18,12
Tattersalls	&58.34.58.14-58-38.14-14.58.14-14.58,12
Taunton	&-34.58.14-58-36-14-58-14-18,12
Uracco	&-58-14-56-36.12-14.58-16.34.18,18
Xanadu	&-38-14-12-36-14-38.14-14.38,18
Zastava	&-58-14.58-58.36-34-38-12-38,12
