Belfast	&34-58.14-12-38.12-14.38.16-12.38,18
Bristol	&-58-14.58-58.36.14-14.58-14-18,18
Buckfastleigh	&34-38.14-58-36-14-58.16-56.18,18
Caterham	&36-56.14.58-58.36-34.12.58.16-16.58,18
Chertsey	&34-38.16-56-38.14-12.38-12.36.18,18
Chesterfield	&-38-14-58-16-14-58.14-14.38,12
Claybrooke	&38-58.14-58-38.14-14.58-36.14.78,12
Colnbrook	&38-58.16-12-38.14-14.38.16-16.38,12
Essex	&-58-14.58-58.16-14-38.14-14.58,18
Glasgow	&36-56.14.58-58.36-14-38.16-16.38,18
London	&38-38.14-12-38.14-14.58.16-16.58,12
Malpas	&34-58.14-58-36-14-58.14-14.78,18
Moulton	&-58-14-12-16-12-58.16-16.78,12
Newcastle	&38-58.14-12-38-14-58.14.36-78,12
Newlyn	&36-38.14-58-16-14-58.16-36.18,12
Northampton	&-34.58.14-58-38.14-14.58-14-58,12
Pudsey	&-58-16-12-38-14-58-16-78,12
Richmond	&38-38.14-12-38.14-14.38-36-18,12
Sonning	&38-38.16-56-36.14-12.38.16-56.38,12
Sussex	&38-58.14-58-36.14-14.58.16-16.58,12
Whalley	&58-58.14-58-16-34-38.56-16.58,12
Willesden	&38-58.16-12-36.14-14.38-14-58,12
Yeading	&34-38.16-56-36-34-38.16-56.18,18
