Anodyne	&56.38.56.14-12-36-14-58-56-58,12
Belfast	&34-58.14-12-38.12-14.38.16-12.38,18
Bristol	&-58-14.58-58.36.14-14.58-14-18,18
Cassiobury	&-58-16-12-36-12-58-14-18,12
Cray	&-56-14-56-36-34-58-34-18,12
Cumberland Row	&38-58.14-58-36.12-14.38.12-16.78,12
Ditchling	&-58-1458-58-36-14-1458-14-18,18
Double Dublin	&-56-14.56-58.36.14-34.58-34-18,18
Essex	&-58-14.58-58.16-14-38.14-14.58,18
Gimp	&56-58.14-58-38-12-58-14-38,18
Kalashnikov	&56.34.58.14.58.12.56.38-14-58-14.56.18,18
Lancashire	&58-58.14-58-36-14-58.14-14.78,12
Lessness	&-38-14-56-16-12-58-14-58,12
London	&38-38.14-12-38.14-14.58.16-16.58,12
Malpas	&34-58.14-58-36-14-58.14-14.78,18
Northampton	&-34.58.14-58-38.14-14.58-14-58,12
Richmond	&38-38.14-12-38.14-14.38-36-18,12
Silchester	&34-38.14-58-36-14-58.16-56.18,12
Superlative	&-36-14-58-36-14-58-36-78,12
Tellurium	&38-56.14-56-1238-14-58-14-58,12
Thetford	&-58-14-12-36-14-58-14.56.38,12
Yeading	&34-38.16-56-36-34-38.16-56.18,18
Yorkshire	&-38-14-58-16-12-38-14-78,12
