Glasgow	&36-56.14.58-58.36-14-38.16-16.38,18
Yeading	&34-38.16-56-36-34-38.16-56.18,18
Tavistock	&-34-16-56-38-14-58-16-78,18
Northampton	&-34.58.14-58-38.14-14.58-14-58,12
Cassiobury	&-58-16-12-36-12-58-14-18,12
Essex	&-58-14.58-58.16-14-38.14-14.58,18
Belfast	&34-58.14-12-38.12-14.38.16-12.38,18
Ipswich	&-38-14-58-36-34-58-16-38,12
Claybrooke	&38-58.14-58-38.14-14.58-36.14.78,12
Uxbridge	&-38-14-56-16-34-58-14-58,12
Chunky Monkey	&-56-14-56-38-14-58.36-36.18,12
Pudsey	&-58-16-12-38-14-58-16-78,12
Lindum	&-36-14-58-16-14-38-14-58,12
Chesterfield	&-38-14-58-16-14-58.14-14.38,12
Sussex	&38-58.14-58-36.14-14.58.16-16.58,12
Yorkshire	&-38-14-58-16-12-38-14-78,12
London	&38-38.14-12-38.14-14.58.16-16.58,12
Hitchin	&-58-16-56-36-14-58-36-18,12
Preston	&36-56.14.58-58.16-34-58-12-18,12
Whalley	&58-58.14-58-16-34-38.56-16.58,12
Cray	&-56-14-56-36-34-58-34-18,12
Cornwall	&-56-14-56-38-14-58-14-58,18
Bristol	&-58-14.58-58.36.14-14.58-14-18,18
