Advent	&36-56.14.58-58.16-14-58-14-78,18
Amersham	&38-58.14-12-38.14-14.58-14-58,12
Ashtead	&-58-16-56-36-34-38-14-78,12
Belfast	&34-58.14-12-38.12-14.38.16-12.38,18
Bristol	&-58-14.58-58.36.14-14.58-14-18,18
Cambridge	&-38-14-1258-36-14-58-16-78,12
Chesterfield	&-38-14-58-16-14-58.14-14.38,12
Cornwall	&-56-14-56-38-14-58-14-58,18
Deva	&-58-14.58-58.36-14-58-36-18,18
Glasgow	&36-56.14.58-58.36-14-38.16-16.38,18
Hounslow	&36-56.14.58-58.36.14-14.58-14-38,12
Hull	&-38-14-12-38-34-38-34-38,18
Ipswich	&-38-14-58-36-34-58-16-38,12
Lanthanum	&38-38.16-56-16-12-38.12-14.58,12
Neodymium	&56-34.16.58-58.16-14-58.14-56.18,18
Newlyn	&36-38.14-58-16-14-58.16-36.18,12
Northwich	&-38-14-12-36.14-12.58-56-18,18
Painswick	&-36-14-58-16-12-58-16-78,12
Peatling	&-58-14.58-12.38.14-12.58.12-14.58,18
Rutland	&-38-14-58-16-14-38-34-18,12
Walmgate Bar	&-58-14.58-58.36.14-14.38.12-16.78,12
Watford	&-58-16-58-36-14-58-34-18,12
Yukon	&-34-14-56-38-12-58-12-18,18
