York	&-38-14-12-38.14-14.38.14-14.38,12
Ytterbium	&-38-14-1256-16-12-58.16-12.78,12
Kenninghall	&-56-14-56-38.14-14.58.14-14.58,18
Venusium	&-56-14.56-58.36-14-58-36-18,18
Superlative	&-36-14-58-36-14-58-36-78,12
Lancashire	&58-58.14-58-36-14-58.14-14.78,12
Bristol	&-58-14.58-58.36.14-14.58-14-18,18
Jovium	&-38-14-12.58.16-34-58-16-58,12
London	&38-38.14-12-38.14-14.58.16-16.58,12
Ealing	&-58-14-56-36-14-58-14-58,12
Mareham	&-58-14.58-12.38-12-18.36.12-18,18
Cornwall	&-56-14-56-38-14-58-14-58,18
Lessness	&-38-14-56-16-12-58-14-58,12
Rook and Gaskill	&38-58.14-58-36-12-58-16-58,12
Double Norwich	&-14-36-58-18,18
Ely	&-38-14-56-16.34-14.58.14-14.58,12
Deva	&-58-14.58-58.36-14-58-36-18,18
Painswick	&-36-14-58-16-12-58-16-78,12
Cambridge	&-38-14-1258-36-14-58-16-78,12
Cooktown Orchid	&-38-14-1256-18-12-58-16-78,12
Yorkshire	&-38-14-58-16-12-38-14-78,12
Glasgow	&36-56.14.58-58.36-14-38.16-16.38,18
Double Dublin	&-56-14.56-58.36.14-34.58-34-18,18
