Adelaide	&-58-14-56-36-14-58.36-36.18,12
Belfast	&34-58.14-12-38.12-14.38.16-12.38,18
Brighton	&-58-16-56-36-34-38-14-18,18
Bristol	&-58-14.58-58.36.14-14.58-14-18,18
Cambridge	&-38-14-1258-36-14-58-16-78,12
Cassiobury	&-58-16-12-36-12-58-14-18,12
Chesterfield	&-38-14-58-16-14-58.14-14.38,12
Cornwall	&-56-14-56-38-14-58-14-58,18
Dorchester	&-58-16-12-38.14-14.38-12-78,12
Ealing	&-58-14-56-36-14-58-14-58,12
Eccleston	&-58-16-12-38-34-58.14-16.78,12
Glasgow	&36-56.14.58-58.36-14-38.16-16.38,18
Lessness	&-38-14-56-16-12-58-14-58,12
Lincoln	&-58-16-12-38-14-58.16-16.78,12
Lincolnshire	&-38-14-58-16-14-58-36-78,12
Lindum	&-36-14-58-16-14-38-14-58,12
London	&38-38.14-12-38.14-14.58.16-16.58,12
Pudsey	&-58-16-12-38-14-58-16-78,12
Rutland	&-38-14-58-16-14-38-34-18,12
Superlative	&-36-14-58-36-14-58-36-78,12
Watford	&-58-16-58-36-14-58-34-18,12
Wembley	&-58-16-12-36-14-38-16-38,12
Yorkshire	&-38-14-58-16-12-38-14-78,12
