Ashtead	&-58-16-56-36-34-38-14-78,12
Bristol	&-58-14.58-58.36.14-14.58-14-18,18
Cambridge	&-38-14-1258-36-14-58-16-78,12
Cassiobury	&-58-16-12-36-12-58-14-18,12
Cornwall	&-56-14-56-38-14-58-14-58,18
Cray	&-56-14-56-36-34-58-34-18,12
Double Dublin	&-56-14.56-58.36.14-34.58-34-18,18
Glasgow	&36-56.14.58-58.36-14-38.16-16.38,18
Ipswich	&-38-14-58-36-34-58-16-38,12
Jersey	&-58-16-12-16-14-58-36-58,12
Lincolnshire	&-38-14-58-16-14-58-36-78,12
Lindum	&-36-14-58-16-14-38-14-58,12
London	&38-38.14-12-38.14-14.58.16-16.58,12
Preston	&36-56.14.58-58.16-34-58-12-18,12
Pudsey	&-58-16-12-38-14-58-16-78,12
Rutland	&-38-14-58-16-14-38-34-18,12
Superlative	&-36-14-58-36-14-58-36-78,12
Tavistock	&-34-16-56-38-14-58-16-78,18
Uxbridge	&-38-14-56-16-34-58-14-58,12
Watford	&-58-16-58-36-14-58-34-18,12
Wembley	&-58-16-12-36-14-38-16-38,12
Whalley	&58-58.14-58-16-34-38.56-16.58,12
Yorkshire	&-38-14-58-16-12-38-14-78,12
