Double Dublin	&-56-14.56-58.36.14-34.58-34-18,18
Rutland	&-38-14-58-16-14-38-34-18,12
Dorchester	&-58-16-12-38.14-14.38-12-78,12
Lincolnshire	&-38-14-58-16-14-58-36-78,12
Superlative	&-36-14-58-36-14-58-36-78,12
Dereham	&-38-14-12-16-34-1458-16-58,12
Belfast	&34-58.14-12-38.12-14.38.16-12.38,18
Adelaide	&-58-14-56-36-14-58.36-36.18,12
Bristol	&-58-14.58-58.36.14-14.58-14-18,18
Lancashire	&58-58.14-58-36-14-58.14-14.78,12
Pudsey	&-58-16-12-38-14-58-16-78,12
Xenolite	&-58-14.58-12.38.12-12.38-14-78,12
Cambridge	&-38-14-1258-36-14-58-16-78,12
Cassiobury	&-58-16-12-36-12-58-14-18,12
London	&38-38.14-12-38.14-14.58.16-16.58,12
Lessness	&-38-14-56-16-12-58-14-58,12
Norfolk	&-56-14-56-36-34-58-34-18,18
Uxbridge	&-38-14-56-16-34-58-14-58,12
Yorkshire	&-38-14-58-16-12-38-14-78,12
Bolton	&58-58.14.58-58.36-14-58-14-78,12
Ashtead	&-58-16-56-36-34-38-14-78,12
Glasgow	&36-56.14.58-58.36-14-38.16-16.38,18
Deva	&-58-14.58-58.36-14-58-36-18,18
